Country,Region,Destination,value
Ukraine,UKR,Europe,Total,4115
Ukraine,UKR,Europe,Ukraine,646
Ukraine,UKR,Europe,Uzbekistan,19
Ukraine,UKR,Europe,Viet Nam,24
United Arab Emirates,ARE,Asia,Algeria,1
United Arab Emirates,ARE,Asia,Armenia,1
United Arab Emirates,ARE,Asia,Azerbaijan,2
United Arab Emirates,ARE,Asia,Bangladesh,70
United Arab Emirates,ARE,Asia,China,3
United Arab Emirates,ARE,Asia,Colombia,1
United Arab Emirates,ARE,Asia,Dominican Republic,1
United Arab Emirates,ARE,Asia,Ethiopia,2
United Arab Emirates,ARE,Asia,India,30
United Arab Emirates,ARE,Asia,Indonesia,30
United Arab Emirates,ARE,Asia,Iraq,14
United Arab Emirates,ARE,Asia,Kazakhstan,1
United Arab Emirates,ARE,Asia,Kyrgyzstan,2
United Arab Emirates,ARE,Asia,Lebanon,24
United Arab Emirates,ARE,Asia,Morocco,5
United Arab Emirates,ARE,Asia,Nepal,2
United Arab Emirates,ARE,Asia,Nigeria,4
United Arab Emirates,ARE,Asia,Pakistan,41
United Arab Emirates,ARE,Asia,Philippines,67
United Arab Emirates,ARE,Asia,Republic of Moldova,3
United Arab Emirates,ARE,Asia,Russian Federation,2
United Arab Emirates,ARE,Asia,Sri Lanka,2
United Arab Emirates,ARE,Asia,Syrian Arab Republic,2
United Arab Emirates,ARE,Asia,Tajikistan,1
United Arab Emirates,ARE,Asia,Thailand,23
United Arab Emirates,ARE,Asia,Total,528
United Arab Emirates,ARE,Asia,Turkmenistan,1
United Arab Emirates,ARE,Asia,United Arab Emirates,4
United Arab Emirates,ARE,Asia,Uzbekistan,23
United Kingdom,GBR,Europe,Afghanistan,1
United Kingdom,GBR,Europe,Albania,192
United Kingdom,GBR,Europe,Angola,1
United Kingdom,GBR,Europe,Bangladesh,15
United Kingdom,GBR,Europe,Bolivia (Plurinational State of),2
United Kingdom,GBR,Europe,Bulgaria,36
United Kingdom,GBR,Europe,Burundi,1
United Kingdom,GBR,Europe,Cameroon,3
United Kingdom,GBR,Europe,China,182
United Kingdom,GBR,Europe,Congo,2
United Kingdom,GBR,Europe,Cote d'Ivoire,2
United Kingdom,GBR,Europe,Czechia,155
United Kingdom,GBR,Europe,Democratic People's Republic of Korea,1
United Kingdom,GBR,Europe,Egypt,1
United Kingdom,GBR,Europe,Eritrea,8
United Kingdom,GBR,Europe,Ethiopia,4
United Kingdom,GBR,Europe,France,1
United Kingdom,GBR,Europe,Gambia,4
United Kingdom,GBR,Europe,Ghana,25
United Kingdom,GBR,Europe,Guinea,2
United Kingdom,GBR,Europe,Hungary,160
United Kingdom,GBR,Europe,India,52
United Kingdom,GBR,Europe,Indonesia,11
United Kingdom,GBR,Europe,Iran (Islamic Republic of),2
United Kingdom,GBR,Europe,Ireland,1
United Kingdom,GBR,Europe,Jamaica,2
United Kingdom,GBR,Europe,Kenya,16
United Kingdom,GBR,Europe,Kosovo under UNSCR 1244,1
United Kingdom,GBR,Europe,Lao People's Democratic Republic,1
United Kingdom,GBR,Europe,Latvia,44
United Kingdom,GBR,Europe,Liberia,2
United Kingdom,GBR,Europe,Lithuania,193
United Kingdom,GBR,Europe,Malawi,2
United Kingdom,GBR,Europe,Mali,2
United Kingdom,GBR,Europe,Mauritania,1
United Kingdom,GBR,Europe,Mauritius,1
United Kingdom,GBR,Europe,Mongolia,1
United Kingdom,GBR,Europe,Morocco,1
United Kingdom,GBR,Europe,Myanmar,1
United Kingdom,GBR,Europe,Nepal,1
United Kingdom,GBR,Europe,Netherlands,2
United Kingdom,GBR,Europe,Nigeria,424
United Kingdom,GBR,Europe,Pakistan,16
United Kingdom,GBR,Europe,Philippines,36
United Kingdom,GBR,Europe,Poland,352
United Kingdom,GBR,Europe,Republic of Moldova,1
United Kingdom,GBR,Europe,Romania,354
United Kingdom,GBR,Europe,Russian Federation,1
United Kingdom,GBR,Europe,Rwanda,2
United Kingdom,GBR,Europe,Senegal,1
United Kingdom,GBR,Europe,Sierra Leone,26
United Kingdom,GBR,Europe,Slovakia,330
United Kingdom,GBR,Europe,Somalia,3
United Kingdom,GBR,Europe,South Africa,2
United Kingdom,GBR,Europe,Spain,1
United Kingdom,GBR,Europe,Sri Lanka,3
United Kingdom,GBR,Europe,Sudan,1
United Kingdom,GBR,Europe,Swaziland,1
United Kingdom,GBR,Europe,Syrian Arab Republic,1
United Kingdom,GBR,Europe,Thailand,10
United Kingdom,GBR,Europe,Togo,1
United Kingdom,GBR,Europe,Total,4439
United Kingdom,GBR,Europe,Turkey,1
United Kingdom,GBR,Europe,Uganda,80
United Kingdom,GBR,Europe,Ukraine,1
United Kingdom,GBR,Europe,United Kingdom,634
United Kingdom,GBR,Europe,United Republic of Tanzania,2
United Kingdom,GBR,Europe,United States of America,1
United Kingdom,GBR,Europe,Viet Nam,334
United Kingdom,GBR,Europe,Western Sahara,1
United Kingdom,GBR,Europe,Zambia,2
United Kingdom,GBR,Europe,Zimbabwe,19
United Republic of Tanzania,TZA,Africa,Rwanda,1
United Republic of Tanzania,TZA,Africa,Total,9
United States of America,USA,Americas,Afghanistan,6
United States of America,USA,Americas,Algeria,2
United States of America,USA,Americas,Argentina,2
United States of America,USA,Americas,Australia,2
United States of America,USA,Americas,Bangladesh,2
United States of America,USA,Americas,Belarus,2
United States of America,USA,Americas,Belize,6
United States of America,USA,Americas,Bolivia (Plurinational State of),2
United States of America,USA,Americas,Brazil,34
United States of America,USA,Americas,Bulgaria,2
United States of America,USA,Americas,Burkina Faso,2
United States of America,USA,Americas,Cambodia,7
United States of America,USA,Americas,Cameroon,17
United States of America,USA,Americas,Canada,16
United States of America,USA,Americas,Chile,2
United States of America,USA,Americas,China,122
United States of America,USA,Americas,China; Taiwan Province of China,1
United States of America,USA,Americas,Colombia,8
United States of America,USA,Americas,Congo,2
United States of America,USA,Americas,Costa Rica,2
United States of America,USA,Americas,Cuba,2
United States of America,USA,Americas,Democratic People's Republic of Korea,2
United States of America,USA,Americas,Dominican Republic,33
United States of America,USA,Americas,Ecuador,17
United States of America,USA,Americas,Egypt,2
United States of America,USA,Americas,El Salvador,400
United States of America,USA,Americas,Eritrea,2
United States of America,USA,Americas,Ethiopia,38
United States of America,USA,Americas,France,2
United States of America,USA,Americas,Gabon,2
United States of America,USA,Americas,Germany,2
United States of America,USA,Americas,Ghana,2
United States of America,USA,Americas,Guatemala,602
United States of America,USA,Americas,Guinea,10
United States of America,USA,Americas,Guyana,2
United States of America,USA,Americas,Haiti,54
United States of America,USA,Americas,Honduras,752
United States of America,USA,Americas,India,214
United States of America,USA,Americas,Indonesia,70
United States of America,USA,Americas,Iran (Islamic Republic of),2
United States of America,USA,Americas,Iraq,2
United States of America,USA,Americas,Jamaica,17
United States of America,USA,Americas,Japan,1
United States of America,USA,Americas,Jordan,2
United States of America,USA,Americas,Kazakhstan,1
United States of America,USA,Americas,Kenya,26
United States of America,USA,Americas,Kosovo under UNSCR 1244,1
United States of America,USA,Americas,Lao People's Democratic Republic,2
United States of America,USA,Americas,Latvia,6
United States of America,USA,Americas,Lebanon,2
United States of America,USA,Americas,Lesotho,2
United States of America,USA,Americas,Liberia,1
United States of America,USA,Americas,Maldives,168
United States of America,USA,Americas,Mexico,2433
United States of America,USA,Americas,Morocco,6
United States of America,USA,Americas,Myanmar,2
United States of America,USA,Americas,Nepal,7
United States of America,USA,Americas,Netherlands,6
United States of America,USA,Americas,Nicaragua,25
United States of America,USA,Americas,Niger,2
United States of America,USA,Americas,Nigeria,2
United States of America,USA,Americas,Norway,2
United States of America,USA,Americas,Others,17
United States of America,USA,Americas,Pakistan,11
United States of America,USA,Americas,Peru,66
United States of America,USA,Americas,Philippines,1487
United States of America,USA,Americas,Portugal,2
United States of America,USA,Americas,Republic of Korea,89
United States of America,USA,Americas,Romania,1
United States of America,USA,Americas,Russian Federation,16
United States of America,USA,Americas,Rwanda,6
United States of America,USA,Americas,Saint Vincent and the Grenadines,122
United States of America,USA,Americas,Senegal,2
United States of America,USA,Americas,Serbia,1
United States of America,USA,Americas,Sierra Leone,1
United States of America,USA,Americas,Singapore,1
United States of America,USA,Americas,Sri Lanka,2
United States of America,USA,Americas,Sudan,2
United States of America,USA,Americas,Sweden,1
United States of America,USA,Americas,Thailand,742
United States of America,USA,Americas,Togo,2
United States of America,USA,Americas,Total,18443
United States of America,USA,Americas,Uganda,2
United States of America,USA,Americas,Ukraine,17
United States of America,USA,Americas,United Kingdom,2
United States of America,USA,Americas,United Republic of Tanzania,16
United States of America,USA,Americas,United States of America,7841
United States of America,USA,Americas,Uzbekistan,2
United States of America,USA,Americas,Viet Nam,14
United States of America,USA,Americas,Zambia,2
United States of America,USA,Americas,Zimbabwe,2
Uruguay,URY,Americas,Bolivia (Plurinational State of),1
Uruguay,URY,Americas,Dominican Republic,95
Uruguay,URY,Americas,Paraguay,1
Uruguay,URY,Americas,Peru,1
Uruguay,URY,Americas,Total,398
Uruguay,URY,Americas,Uruguay,12
Uzbekistan,UZB,Asia,Kazakhstan,1
Uzbekistan,UZB,Asia,Kyrgyzstan,1
Uzbekistan,UZB,Asia,Tajikistan,1
Uzbekistan,UZB,Asia,Total,11970
Uzbekistan,UZB,Asia,Uzbekistan,438
Venezuela (Bolivarian Republic of),VEN,Americas,Bolivia (Plurinational State of),2
Venezuela (Bolivarian Republic of),VEN,Americas,China,19
Venezuela (Bolivarian Republic of),VEN,Americas,Colombia,12
Venezuela (Bolivarian Republic of),VEN,Americas,Ecuador,3
Venezuela (Bolivarian Republic of),VEN,Americas,Ethiopia,1
Venezuela (Bolivarian Republic of),VEN,Americas,Guatemala,1
Venezuela (Bolivarian Republic of),VEN,Americas,Iran (Islamic Republic of),1
Venezuela (Bolivarian Republic of),VEN,Americas,Kenya,2
Venezuela (Bolivarian Republic of),VEN,Americas,Mexico,1
Venezuela (Bolivarian Republic of),VEN,Americas,Peru,9
Venezuela (Bolivarian Republic of),VEN,Americas,Philippines,1
Venezuela (Bolivarian Republic of),VEN,Americas,Somalia,1
Venezuela (Bolivarian Republic of),VEN,Americas,South Africa,1
Venezuela (Bolivarian Republic of),VEN,Americas,Total,276
Venezuela (Bolivarian Republic of),VEN,Americas,Venezuela (Bolivarian Republic of),163
Viet Nam,VNM,Asia,Total,7260
Zambia,ZMB,Africa,Afghanistan,1
Zambia,ZMB,Africa,Angola,5
Zambia,ZMB,Africa,Congo,1
Zambia,ZMB,Africa,Rwanda,13
Zambia,ZMB,Africa,Total,66
Zambia,ZMB,Africa,Zambia,8
Zimbabwe,ZWE,Africa,Total,5
